"user_id";"presented_sentence";"transcribed_sentence";"text_input_technique";"text_length";"total_time (ms)";"wpm";"timestamp (ISO)"
"1";"Wo rennst du hin.";"C";"S";"wo rennst du hin.";"5716";"41.98740377886634";"2017-06-15T22:48:48"
"1";"Ich sehe dich nicht.";"C";"S";"ich sehe dich nicht.";"6487";"73.99414213041467";"2017-06-15T22:48:56"
"1";"Es war ein Mann.";"C";"S";"es war nie Mann";"7848";"91.74311926605505";"2017-06-15T22:49:05"
"1";"Ich mag das Eis.";"C";"S";"ich mag das Eis.";"5194";"184.8286484405083";"2017-06-15T22:49:12"
"1";"Geh nun zum Auto.";"C";"L";"ich hab den mnetr verpasst.";"20580";"61.22448979591837";"2017-06-15T22:49:34"
"1";"Der hat einen Hut.";"C";"L";"leiderhab ich keine Zeit.";"12933";"115.98237067965668";"2017-06-15T22:49:51"
"1";"Es ist heiß hier.";"C";"L";"ich hab den rmnetr verpasst.";"15285";"117.76251226692837";"2017-06-15T22:50:08"
"1";"Das Spiel ist gut!";"C";"L";"der Mann ging nie zspireaspazieren";"16239";"129.3183077775725";"2017-06-15T22:50:26"
"user_id";"presented_sentence";"transcribed_sentence";"text_input_technique";"text_length";"total_time (ms)";"wpm";"timestamp (ISO)"
"1";"Der Mann ging nie spazieren.";"der Mann ging nie iznrseaspazieren.";"C";"S";"10799";"27.780350032410407";"2017-06-16T12:46:38"
"1";"Mein Hund hat dich lieb.";"mein Hund hat dich lieb.";"C";"L";"6741";"89.00756564307967";"2017-06-16T12:46:47"
"1";"Viele Leute mögen dich.";"veil lute mngeö cdhi.";"Q";"S";"15617";"53.787539220080674";"2017-06-16T12:47:08"
"1";"Der Junge weiß nicht was er tut.";"Der Junge weiß nicht w as er utut.";"Q";"L";"7742";"162.748643761302";"2017-06-16T12:47:16"
